PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-09-30,575.720000,2021-09-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-10-29,650.360000,2021-10-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-11-30,669.850000,2021-11-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-12-31,567.060000,2021-12-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-01-31,534.300000,2022-01-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-02-28,467.680000,2022-02-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-03-31,455.620000,2022-03-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-04-29,395.950000,2022-04-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-05-31,416.480000,2022-05-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-06-30,366.060000,2022-06-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-07-29,410.120000,2022-07-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-08-31,373.440000,2022-08-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-09-30,275.200000,2022-09-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-10-31,318.500000,2022-10-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-11-30,344.930000,2022-11-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2022-12-30,336.530000,2022-12-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-01-31,370.340000,2023-01-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-02-28,323.950000,2023-02-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-03-31,385.370000,2023-03-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-04-28,377.560000,2023-04-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-05-31,417.790000,2023-05-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-06-30,488.990000,2023-06-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-07-31,546.170000,2023-07-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-08-31,559.340000,2023-08-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-09-29,509.900000,2023-09-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-10-31,532.060000,2023-10-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-11-30,611.010000,2023-11-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2023-12-29,596.600000,2023-12-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-01-31,617.780000,2024-01-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-02-29,560.280000,2024-02-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-03-28,504.600000,2024-03-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-04-30,462.830000,2024-04-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-05-31,444.760000,2024-05-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-06-28,555.540000,2024-06-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-07-31,551.650000,2024-07-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-08-30,574.410000,2024-08-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-09-30,517.780000,2024-09-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-10-31,478.080000,2024-10-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-11-29,515.930000,2024-11-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2024-12-31,444.680000,2024-12-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-01-31,437.450000,2025-01-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-02-28,438.560000,2025-02-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-03-31,383.530000,2025-03-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-04-30,374.980000,2025-04-30
