PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-10-31,32.040000,2023-10-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-11-30,34.870000,2023-11-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-12-29,36.020000,2023-12-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-01-31,35.500000,2024-01-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-02-29,34.420000,2024-02-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-03-28,36.180000,2024-03-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-04-30,35.540000,2024-04-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-05-31,36.580000,2024-05-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-06-28,35.590000,2024-06-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-07-31,37.420000,2024-07-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-08-30,40.180000,2024-08-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-09-30,40.610000,2024-09-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-10-31,40.400000,2024-10-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-11-29,43.380000,2024-11-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2024-12-31,42.430000,2024-12-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-01-31,43.240000,2025-01-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-02-28,42.730000,2025-02-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-03-31,44.310000,2025-03-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-04-30,46.690000,2025-04-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-05-30,46.480000,2025-05-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-06-30,45.320000,2025-06-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-07-31,45.290000,2025-07-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-08-29,48.340000,2025-08-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-09-30,50.460000,2025-09-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-10-31,46.620000,2025-10-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-11-28,48.780000,2025-11-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2025-12-31,47.830000,2025-12-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-01-31,30.590000,2020-01-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-02-28,27.600000,2020-02-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-03-31,15.800000,2020-03-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-04-30,17.850000,2020-04-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-05-29,17.120000,2020-05-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-06-30,16.860000,2020-06-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-07-31,15.760000,2020-07-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-08-31,16.030000,2020-08-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-09-30,12.230000,2020-09-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-10-30,11.290000,2020-10-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-11-30,16.090000,2020-11-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2020-12-31,16.780000,2020-12-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-01-29,16.730000,2021-01-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-02-26,19.860000,2021-02-26
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-03-31,20.900000,2021-03-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-04-30,21.420000,2021-04-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-05-28,23.100000,2021-05-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-06-30,23.970000,2021-06-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-07-30,19.630000,2021-07-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-08-31,18.650000,2021-08-31
