PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-02-28,112.000000,2025-02-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-03-31,95.480000,2025-03-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-04-30,95.000000,2025-04-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-05-30,107.220000,2025-05-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-06-30,115.350000,2025-06-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-07-31,122.210000,2025-07-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-08-29,141.280000,2025-08-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-09-30,148.610000,2025-09-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-10-31,173.860000,2025-10-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-11-28,158.640000,2025-11-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-12-31,160.970000,2025-12-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-01-31,44.990000,2020-01-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-02-28,41.920000,2020-02-28
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-03-31,34.920000,2020-03-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-04-30,37.950000,2020-04-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-05-29,41.540000,2020-05-29
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-06-30,42.480000,2020-06-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-07-31,45.030000,2020-07-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-08-31,45.380000,2020-08-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-09-30,42.240000,2020-09-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-10-30,36.730000,2020-10-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-11-30,44.170000,2020-11-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2020-12-31,45.460000,2020-12-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-01-29,44.790000,2021-01-29
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-02-26,44.570000,2021-02-26
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-03-31,47.710000,2021-03-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-04-30,47.100000,2021-04-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-05-28,46.980000,2021-05-28
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-06-30,50.800000,2021-06-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-07-30,51.910000,2021-07-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-08-31,54.830000,2021-08-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-09-30,48.740000,2021-09-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-10-29,50.350000,2021-10-29
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-11-30,47.410000,2021-11-30
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2021-12-31,47.480000,2021-12-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2022-01-31,47.860000,2022-01-31
82833,68371510,OPEN TEXT CORP; COM NONE; CONS,OTEX,14305,OPEN TEXT CORP,2022-02-28,43.500000,2022-02-28
