PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
15358,82509L10,SHOP,55259,2023-01-31,49.270000
15358,82509L10,SHOP,55259,2023-02-28,41.140000
15358,82509L10,SHOP,55259,2023-03-31,47.940000
15358,82509L10,SHOP,55259,2023-04-28,48.450000
15358,82509L10,SHOP,55259,2023-05-31,57.190000
15358,82509L10,SHOP,55259,2023-06-30,64.600000
15358,82509L10,SHOP,55259,2023-07-31,67.580000
15358,82509L10,SHOP,55259,2023-08-31,66.490000
15358,82509L10,SHOP,55259,2023-09-29,54.570000
15358,82509L10,SHOP,55259,2023-10-31,47.190000
15358,82509L10,SHOP,55259,2023-11-30,72.820000
15358,82509L10,SHOP,55259,2023-12-29,77.900000
15358,82509L10,SHOP,55259,2024-01-31,80.070000
15358,82509L10,SHOP,55259,2024-02-29,76.370000
15358,82509L10,SHOP,55259,2024-03-28,77.170000
15358,82509L10,SHOP,55259,2024-04-30,70.200000
15358,82509L10,SHOP,55259,2024-05-31,59.150000
15358,82509L10,SHOP,55259,2024-06-28,66.050000
15358,82509L10,SHOP,55259,2024-07-31,61.200000
15358,82509L10,SHOP,55259,2024-08-30,74.070000
15358,82509L10,SHOP,55259,2024-09-30,80.140000
15358,82509L10,SHOP,55259,2024-10-31,78.210000
15358,82509L10,SHOP,55259,2024-11-29,115.600000
15358,82509L10,SHOP,55259,2024-12-31,106.330000
15358,82509L10,SHOP,55259,2025-01-31,116.800000
15358,82509L10,SHOP,55259,2025-02-28,112.000000
15358,82509L10,SHOP,55259,2025-03-31,95.480000
15358,82509L10,SHOP,55259,2025-04-30,95.000000
15358,82509L10,SHOP,55259,2025-05-30,107.220000
15358,82509L10,SHOP,55259,2025-06-30,115.350000
15358,82509L10,SHOP,55259,2025-07-31,122.210000
15358,82509L10,SHOP,55259,2025-08-29,141.280000
15358,82509L10,SHOP,55259,2025-09-30,148.610000
15358,82509L10,SHOP,55259,2025-10-31,173.860000
15358,82509L10,SHOP,55259,2025-11-28,158.640000
15358,82509L10,SHOP,55259,2025-12-31,160.970000
21413,53656F41,META,56315,2021-06-30,15.120000
21413,53656F41,META,56315,2021-07-30,14.620000
21413,53656F41,META,56315,2021-08-31,15.110000
21413,53656F41,META,56315,2021-09-30,14.160000
21413,53656F41,META,56315,2021-10-29,15.320000
21413,53656F41,META,56315,2021-11-30,16.100000
21413,53656F41,META,56315,2021-12-31,15.180000
84788,02313510,AMZN,15473,2020-01-31,2008.720000
84788,02313510,AMZN,15473,2020-02-28,1883.750000
84788,02313510,AMZN,15473,2020-03-31,1949.720000
84788,02313510,AMZN,15473,2020-04-30,2474.000000
84788,02313510,AMZN,15473,2020-05-29,2442.370000
84788,02313510,AMZN,15473,2020-06-30,2758.820000
84788,02313510,AMZN,15473,2020-07-31,3164.680000
84788,02313510,AMZN,15473,2020-08-31,3450.960000
84788,02313510,AMZN,15473,2020-09-30,3148.730000
84788,02313510,AMZN,15473,2020-10-30,3036.150000
84788,02313510,AMZN,15473,2020-11-30,3168.040000
84788,02313510,AMZN,15473,2020-12-31,3256.930000
84788,02313510,AMZN,15473,2021-01-29,3206.200000
84788,02313510,AMZN,15473,2021-02-26,3092.930000
84788,02313510,AMZN,15473,2021-03-31,3094.080000
84788,02313510,AMZN,15473,2021-04-30,3467.420000
84788,02313510,AMZN,15473,2021-05-28,3223.070000
84788,02313510,AMZN,15473,2021-06-30,3440.160000
84788,02313510,AMZN,15473,2021-07-30,3327.590000
84788,02313510,AMZN,15473,2021-08-31,3470.790000
84788,02313510,AMZN,15473,2021-09-30,3285.040000
84788,02313510,AMZN,15473,2021-10-29,3372.430000
84788,02313510,AMZN,15473,2021-11-30,3507.070000
84788,02313510,AMZN,15473,2021-12-31,3334.340000
84788,02313510,AMZN,15473,2022-01-31,2991.470000
84788,02313510,AMZN,15473,2022-02-28,3071.260000
84788,02313510,AMZN,15473,2022-03-31,3259.950000
84788,02313510,AMZN,15473,2022-04-29,2485.630000
84788,02313510,AMZN,15473,2022-05-31,2404.190000
84788,02313510,AMZN,15473,2022-06-30,106.210000
84788,02313510,AMZN,15473,2022-07-29,134.950000
84788,02313510,AMZN,15473,2022-08-31,126.770000
84788,02313510,AMZN,15473,2022-09-30,113.000000
84788,02313510,AMZN,15473,2022-10-31,102.440000
84788,02313510,AMZN,15473,2022-11-30,96.540000
84788,02313510,AMZN,15473,2022-12-30,84.000000
84788,02313510,AMZN,15473,2023-01-31,103.130000
84788,02313510,AMZN,15473,2023-02-28,94.230000
84788,02313510,AMZN,15473,2023-03-31,103.290000
84788,02313510,AMZN,15473,2023-04-28,105.450000
84788,02313510,AMZN,15473,2023-05-31,120.580000
84788,02313510,AMZN,15473,2023-06-30,130.360000
84788,02313510,AMZN,15473,2023-07-31,133.680000
84788,02313510,AMZN,15473,2023-08-31,138.010000
84788,02313510,AMZN,15473,2023-09-29,127.120000
84788,02313510,AMZN,15473,2023-10-31,133.090000
84788,02313510,AMZN,15473,2023-11-30,146.090000
84788,02313510,AMZN,15473,2023-12-29,151.940000
84788,02313510,AMZN,15473,2024-01-31,155.200000
84788,02313510,AMZN,15473,2024-02-29,176.760000
84788,02313510,AMZN,15473,2024-03-28,180.380000
84788,02313510,AMZN,15473,2024-04-30,175.000000
84788,02313510,AMZN,15473,2024-05-31,176.440000
84788,02313510,AMZN,15473,2024-06-28,193.250000
84788,02313510,AMZN,15473,2024-07-31,186.980000
